,"('PLANES DE PREVENCIÓN Y REDUCCIÓN DEL RIESGO DE DESASTRES', None)","('DESCARGA', None)"
109,"('Plan de prevención y reducción del riesgo de desastres 2021 - 2023. Instituto Nacional de Defensa de la Competencia y de la Protección de la Propiedad Intelectual - INDECOPI (Instituto Nacional de Defensa de la Competencia y de la Protección de la Propiedad Intelectual - INDECOPI, DISTRITO SAN BORJA, LIMA, LIMA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12815/descargar')"
110,"('Plan de prevención y reducción del riesgo de desastres del distrito de Kosñipata 2021 - 2025 (DISTRITO KOSÑIPATA, PAUCARTAMBO, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12805/descargar')"
111,"('Plan de prevención y reducción del riesgo de desastres ante Aluvión y Movimientos en Masa del distrito de Independencia, provincia de Huaraz, departamento de Ancash 2021 - 2025. (DISTRITO INDEPENDENCIA, HUARAZ, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12801/descargar')"
112,"('Plan de prevención y reducción del riesgo de desastres ante Incendios Forestales del distrito de Independencia, provincia de Huaraz, departamento de Ancash 2021 - 2025. (DISTRITO INDEPENDENCIA, HUARAZ, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12800/descargar')"
113,"('Plan de prevención y reducción del riesgo de desastres frente a inundaciones y sequías del distrito de Querecotillo, provincia de Sullana 2021-2023. (DISTRITO QUERECOTILLO, SULLANA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12772/descargar')"
114,"('Plan de prevención y reducción del riesgo de desastres frente a peligros de sequías y movimientos en masa del distrito de Sapillica 2021-2023 (DISTRITO SAPILLICA, AYABACA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12757/descargar')"
115,"('Plan de prevención y reducción del riesgo ante sequía del distrito de Ilave al 2024. (DISTRITO ILAVE, EL COLLAO, PUNO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12680/descargar')"
116,"('Plan de prevención y reducción del riesgo de desastres frente a peligros de inundación, sequías y movimientos en masa 2021 - 2023 del distrito de Suyo. (DISTRITO SUYO, AYABACA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12666/descargar')"
117,"('Plan de prevención y reducción del riesgo ante sequía del distrito de Taraco. (DISTRITO TARACO, HUANCANE, PUNO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12664/descargar')"
118,"('Plan de prevención y reducción de riesgo de desastres del distrito de Maranura. (DISTRITO MARANURA, LA CONVENCION, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12602/descargar')"
119,"('Plan de prevención de riesgo de desastres del distrito capital de Chupaca 2022 - 2024. (DISTRITO CHUPACA, CHUPACA, JUNIN)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12506/descargar')"
120,"('Plan de prevención de riesgo de sequía en el sector Agrario de la región Puno con enfoque de Cuenca 2021 - 2031. (DEPARTAMENTO PUNO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12346/descargar')"
121,"('Plan de prevención y reducción del riesgo de desastres del distrito de Ccatcca 2022 - 2024 (DISTRITO CCATCA, QUISPICANCHI, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12334/descargar')"
122,"('Plan de prevención y reducción del riesgo de desastres Pitumarca al 2024 (DISTRITO PITUMARCA, CANCHIS, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12335/descargar')"
123,"('Plan de prevención y reducción del riesgo de desastres ante peligros de Inundación pluvial y movimientos en masa del distrito de Cajamarca 2021 - 2023. (DISTRITO CAJAMARCA, CAJAMARCA, CAJAMARCA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12329/descargar')"
124,"('Plan de prevención y reducción del riesgo ante sequía del distrito de Pusi. (DISTRITO PUSI, HUANCANE, PUNO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12317/descargar')"
125,"('Plan de prevención y reducción del riesgo ante sequía del distrito de Mañazo. (DISTRITO MAÑAZO, PUNO, PUNO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12316/descargar')"
126,"('Plan de prevención y reducción del riesgo de desastres del distrito Mosoc Llacta al 2024. (DISTRITO MOSOC LLACTA, ACOMAYO, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12314/descargar')"
127,"('Plan de prevención y reducción de riesgos de desastres para incendios forestales del Parque Arqueológico Nacional de Machupicchu al 2024 (DISTRITO MACHUPICCHU, URUBAMBA, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12282/descargar')"
128,"('Plan de prevención y reducción del riesgo de desastres de origen natural, del distrito de Bellavista de La Unión, provincia de Sechura - Piura (DISTRITO BELLAVISTA DE LA UNION, SECHURA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12281/descargar')"
129,"('Plan de prevención y reducción del riesgo de desastres del distrito de Huancarani al 2025. (DISTRITO HUANCARANI, PAUCARTAMBO, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/11971/descargar')"
130,"('Plan de prevención y reducción del riesgo de desastres de la Municipalidad distrital de Pueblo Libre 2020 - 2022. (DISTRITO PUEBLO LIBRE, LIMA, LIMA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/11970/descargar')"
131,"('Plan de prevención y reducción del riesgo ante COVID-19 en la provincia de Carhuaz 2021-2022 (PROVINCIA CARHUAZ, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/11966/descargar')"
132,"('Plan de prevención y reducción del riesgo de desastres de la Municipalidad de La Unión (Ciudad La Unión, DISTRITO LA UNION, PIURA, PIURA, )', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/11295/descargar')"
133,"('Plan de prevención y reducción del riesgo de desastres antes incendios forestales de la provincia de Vilcas Huamán 2021-2025 (PROVINCIA VILCAS HUAMAN, AYACUCHO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/11514/descargar')"
134,"('Plan de prevención y reducción de riesgo de desastres del distrito de Huayllabamba al 2025. (DISTRITO HUAYLLABAMBA, URUBAMBA, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/11849/descargar')"
135,"('Plan de prevención y reducción de riesgo de desastres frente al peligro la COVID-19 distrito La Unión 2020-2022 (DISTRITO LA UNION, PIURA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/11298/descargar')"
136,"('Plan de prevención y reducción del riesgo de desastres del distrito de Moro (Inundación fluvial y Déficit hídrico) 2021 - 2023. (DISTRITO MORO, SANTA, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/11771/descargar')"
137,"('Plan de prevención y reducción del riesgo de desastres de la municipalidad distrital de Quellouno 2021 al 2024 (DISTRITO QUELLOUNO, LA CONVENCION, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/11705/descargar')"
138,"('Plan de prevención y reducción del riesgo de desastres 2021-2023 de la provincia de Corongo, región Ancash (PROVINCIA CORONGO, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/11704/descargar')"
139,"('Plan de prevención y reducción del riesgo de desastres 2020-2024 del distrito de Churcampa, provincia de Churcampa, región Huancavelica. (DISTRITO CHURCAMPA, CHURCAMPA, HUANCAVELICA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/11623/descargar')"
140,"('Plan de prevención y reducción del riesgo de desastres 2021-2023 del distrito de Shilla, provincia de Carhuaz- Ancash (DISTRITO SHILLA, CARHUAZ, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/11515/descargar')"
141,"('Plan de prevención y reducción del riesgo de desastres del Ministerio de Vivienda, Construcción y Saneamiento 2021 - 2024. (NACIONAL PERU)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/11609/descargar')"
142,"('Plan de prevención y reducción del riesgo de desastres ante COVID-19 en la ciudad de Cajabamba (DISTRITO CAJABAMBA, CAJABAMBA, CAJAMARCA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/11513/descargar')"
143,"('Plan de prevención y reducción del riesgo de desastres del Ministerio de la Mujer y Poblaciones Vulnerables (NACIONAL PERU)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/11465/descargar')"
144,"('Plan de prevención y reducción del riesgo de desastres 2021 - 2023. Central de Compras Públicas - Perú Compras. (Central de Compras Públicas - Perú Compras , DISTRITO SAN ISIDRO, LIMA, LIMA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/11420/descargar')"
145,"('Plan de prevención y reducción del riesgo de desastres ante Incendios Forestales del distrito de Vinchos 2021 - 2025. (DISTRITO VINCHOS, HUAMANGA, AYACUCHO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/11327/descargar')"
146,"('Plan de prevención y reducción del riesgo de desastres ante Incendios Forestales del distrito de Acocro 2021 - 2025. (DISTRITO ACOCRO, HUAMANGA, AYACUCHO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/11326/descargar')"
147,"('Plan de prevención y reducción del riesgo de desastres del distrito de Challhuahuacho 2021 - 2023. (DISTRITO CHALLHUAHUACHO, COTABAMBAS, APURIMAC)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/11296/descargar')"
148,"('Plan de prevención y reducción del riesgo de desastres del Cercado de Lima 2021 - 2023. (DISTRITO LIMA, LIMA, LIMA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10983/descargar')"
149,"('Plan de prevención y reducción del riesgo de desastres del distrito Antonio Raymondi 2021 - 2023. (DISTRITO ANTONIO RAYMONDI, BOLOGNESI, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/11269/descargar')"
150,"('Plan de prevención y reducción del riesgo de desastres 2021-2022 de la municipalidad provincial de Zarumilla (PROVINCIA ZARUMILLA, TUMBES)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10982/descargar')"
151,"('Plan de prevención y reducción del riesgo de desastres del parque arqueológico nacional de Saqsaywaman al 2024 (Saqsaywaman, DISTRITO CUSCO, CUSCO, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10842/descargar')"
152,"('Plan de prevención y reducción del riesgo ante COVID 19 del distrito de la Pampa 2020-2022 (DISTRITO LA PAMPA, CORONGO, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9703/descargar')"
153,"('Plan de prevención y reducción del riesgo de desastres de la Municipalidad Distrital de Pacocha, 2020 - 2023 (DISTRITO PACOCHA, ILO, MOQUEGUA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9791/descargar')"
154,"('Plan de prevención y reducción del riesgo de desastres de la municipalidad provincial de Chucuito, 2020-2023 (PROVINCIA CHUCUITO, PUNO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10833/descargar')"
155,"('Plan de prevención y reducción del riesgo de desastres ante peligros de origen natural en la provincia de Sullana, 2021-2023 (PROVINCIA SULLANA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10828/descargar')"
156,"('Plan de prevención y reducción del riesgo de desastres de la región Loreto, 2021-2024 (DEPARTAMENTO LORETO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10814/descargar')"
157,"('Plan de prevención y reducción del riesgo de desastres del distrito de Ilabaya, provincia Jorge Basadre, región Tacna, 2020-2023 (DISTRITO ILABAYA, JORGE BASADRE, TACNA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10802/descargar')"
158,"('Plan de prevención y reducción de riesgos de desastres frente a peligros de sequías y movimientos en masas del distrito Jililí 2020-2022 (DISTRITO JILILI, AYABACA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10774/descargar')"
159,"('Plan de prevención y reducción de riesgo de desastres frente a peligros de sequías e inundaciones del distrito Miguel Checa (DISTRITO MIGUEL CHECA, SULLANA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10773/descargar')"
160,"('Plan de prevención y reducción del riesgo de desastres ante peligros de origen natural en la provincia de Ayabaca 2021 - 2022 (PROVINCIA AYABACA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10736/descargar')"
161,"('Plan de prevención y reducción de riesgo de desastres frente al peligro del COVID-19, distrito El Tallan 2020 - 2022 (DISTRITO EL TALLAN, PIURA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10735/descargar')"
162,"('Plan de prevención y reducción de riesgo de desastres frente al peligro del COVID-19, distrito de La Arena 2020 - 2022 (DISTRITO LA ARENA, PIURA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10734/descargar')"
163,"('Plan de prevención y reducción del riesgo de desastres frente al peligro de inundación del distrito de Tallan 2020 - 2022 (DISTRITO EL TALLAN, PIURA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10733/descargar')"
164,"('Plan de prevención y reducción de riesgos de desastres frente al peligro del Covid - 19, distrito de Cura Mori, provincia y departamento de Piura 2020 - 2022. (DISTRITO CURA MORI, PIURA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10583/descargar')"
165,"('Plan de prevención y reducción de riesgos de desastres de la región Lima 2020 – 2022 (DEPARTAMENTO LIMA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10479/descargar')"
166,"('Plan de prevención y reducción del riesgo de desastres del distrito de Huachupampa 2020 - 2022 (DISTRITO HUACHUPAMPA, HUAROCHIRI, LIMA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10438/descargar')"
167,"('Plan de prevención y reducción del riesgo de desastres del distrito de Callahuanca 2021 - 2023 (DISTRITO CALLAHUANCA, HUAROCHIRI, LIMA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10434/descargar')"
168,"('Plan de prevención y reducción del riesgo de desastres por Inundación fluvial del distrito de Mala 2020 - 2022. (DISTRITO MALA, CAÑETE, LIMA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10355/descargar')"
169,"('Plan de prevención y reducción del riesgo de desastres frente a Incendios Forestales en el Santuario Histórico de Machupicchu al 2022. (DISTRITO MACHUPICCHU, URUBAMBA, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10237/descargar')"
170,"('Plan de prevención y reducción del riesgo de desastres por Inundación en el distrito de La Coipa al 2023 (DISTRITO LA COIPA, SAN IGNACIO, CAJAMARCA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10171/descargar')"
171,"('Plan de prevención y reducción del riesgo de desastres del departamento de Tumbes 2020-2022 (DEPARTAMENTO TUMBES)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10157/descargar')"
172,"('Plan de prevención y reducción del riesgo de desastres del distrito de Huacachi 2020-2023 (DISTRITO HUACACHI, HUARI, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10126/descargar')"
173,"('Plan de prevención y reducción del riesgo de desastres del distrito de Aczo 2021-2023 (DISTRITO ACZO, ANTONIO RAYMONDI, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10125/descargar')"
174,"('Plan de prevención y reducción del riesgo de desastres del distrito de Miraflores 2020-2022 (DISTRITO MIRAFLORES, LIMA, LIMA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10110/descargar')"
175,"('Plan de prevención y reducción del riesgo de desastres frente a incendios forestales región Madre de Dios 2025 (DEPARTAMENTO MADRE DE DIOS)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10108/descargar')"
176,"('Plan de prevención y reducción del riesgo de desastres del distrito de Pariacoto 2020 - 2022 (DISTRITO PARIACOTO, HUARAZ, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10079/descargar')"
177,"('Plan de prevención y reducción del riesgo ante COVID-19, del distrito Ticapampa 2020 - 2022 (DISTRITO TICAPAMPA, RECUAY, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10063/descargar')"
178,"('Plan de prevención y reducción del riesgo de desastres del distritos de la provincia de Canchis al 2023 (PROVINCIA CANCHIS, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10055/descargar')"
179,"('Plan de prevención y reducción del riesgo ante COVID-19, del distrito de Cátac 2020 - 2022 (DISTRITO CATAC, RECUAY, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10045/descargar')"
180,"('Plan de prevención y reducción del riesgo ante COVID-19, del distrito de Marcará (DISTRITO MARCARA, CARHUAZ, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10034/descargar')"
181,"('Plan de prevención y reducción del riesgo de desastres del distritos de Poroy al 2023 (DISTRITO POROY, CUSCO, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10032/descargar')"
182,"('Plan de prevención y reducción del riesgo de desastres frente a los peligros de sequía e inundaciones del distrito de Sicchez 2020-2023 (DISTRITO SICCHEZ, AYABACA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10020/descargar')"
183,"('Plan de prevención y reducción del riesgo de desastres por sismo y tsunami del distrito de Santa Rosa 2020-2022 (DISTRITO SANTA ROSA, LIMA, LIMA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10019/descargar')"
184,"('Plan de prevención y reducción del riesgo de desastres del distrito de Ranrahirca 2020-2022 (DISTRITO RANRAHIRCA, YUNGAY, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/10004/descargar')"
185,"('Plan de prevención y reducción del riesgo de desastres del distrito de Masin 2020-2022 (DISTRITO MASIN, HUARI, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9994/descargar')"
186,"('Plan de prevención y reducción del riesgo de desastres del distrito de Olleros 2020-2022 (DISTRITO OLLEROS, HUARAZ, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9983/descargar')"
187,"('Plan de prevención y reducción del riesgo de desastres de Islay 2018-2022 (PROVINCIA ISLAY, AREQUIPA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9923/descargar')"
188,"('Plan de prevención y reducción del riesgo de desastres frente a sequías e inundaciones del distrito de la huaca 2020-2022 (DISTRITO LA HUACA, PAITA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9959/descargar')"
189,"('Plan de prevención y reducción del riesgo de desastres del distrito de Sóndor 2020-2022 (DISTRITO SONDOR, HUANCABAMBA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9950/descargar')"
190,"('Plan de prevención y reducción del riesgo de desastres frente a peligros de sequías, inundaciones y tsunamis, distrito de colán 2020 - 2023 (DISTRITO COLAN, PAITA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9940/descargar')"
191,"('Plan de prevención y reducción del riesgo de desastres del distrito de virú 2019-2024 (DISTRITO VIRU, VIRU, LA LIBERTAD)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9927/descargar')"
192,"('Plan de prevención y reducción del riesgo de desastres de la provincia de Tacna 2019-2022 (PROVINCIA TACNA, TACNA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9924/descargar')"
193,"('Plan de prevención y reducción del riesgo de desastres del distrito Yaután 2020-2022 (DISTRITO YAUTAN, CASMA, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9900/descargar')"
194,"('Plan de prevención y reducción del riesgo de desastres ante incendios forestales de la región Ancash 2020-2023 (DEPARTAMENTO ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9837/descargar')"
195,"('Plan de prevención y reducción del riesgo de desastres del distrito Alto Selva Alegre 2019-2022 (DISTRITO ALTO SELVA ALEGRE, AREQUIPA, AREQUIPA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9836/descargar')"
196,"('Plan de prevención y reducción del riesgo de desastres 2019 - 2022 Provincia de Talara (PROVINCIA TALARA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9835/descargar')"
197,"('Plan de prevención y reducción del riesgo de desastres del distrito de San Marcos 2020 - 2022 (DISTRITO SAN MARCOS, HUARI, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9834/descargar')"
198,"('Plan de prevención y reducción del riesgo de desastres del distrito de Cura Mori 2020 - 2022 (DISTRITO CURA MORI, PIURA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9822/descargar')"
199,"('Plan de prevención y reducción del riesgo de desastres del distrito de Punta Negra 2020 - 2023 (DISTRITO PUNTA NEGRA, LIMA, LIMA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9833/descargar')"
200,"('Plan de prevención y reducción del riesgo de desastres ante COVID19, distrito de Acopampa 2020-2022 (DISTRITO ACOPAMPA, CARHUAZ, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9832/descargar')"
201,"('Plan de prevención y reducción del riesgo de desastres del Gobierno Regional Piura 2020-2022 (DEPARTAMENTO PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9823/descargar')"
202,"('Plan de prevención y reducción del riesgo de desastres 2019 - 2021 Municipalidad Distrital de Cura Mori (DISTRITO CURA MORI, PIURA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/6211/descargar')"
203,"('Plan de prevención y reducción del riesgo de desastre del distrito de Ayabaca, ante peligros de sequía y movimientos en masa. 2020 - 2023 (DISTRITO AYABACA, AYABACA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9820/descargar')"
204,"('Plan de prevención y reducción del riesgo de desastres de la provincia de Bolognesi 2020 - 2022 (PROVINCIA BOLOGNESI, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9799/descargar')"
205,"('Plan de prevención y reducción del riesgo de desastres de la ONPE 2020-2022 (NACIONAL PERU)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9766/descargar')"
206,"('Plan de prevención y reducción del riesgo de desastres de la Costa Verde 2020 - 2023 (Costa Verde, PROVINCIA LIMA, LIMA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9727/descargar')"
207,"('Plan de prevención y reducción del riesgo de desastres por sismos del distrito de Carmen de la Legua Reynoso 2020 - 2023 (DISTRITO CARMEN DE LA LEGUA REYNOSO, CALLAO, CALLAO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9746/descargar')"
208,"('Plan de prevención y reducción del riesgo de desastres del distrito de Yuracmarca 2020 - 2023 (DISTRITO YURACMARCA, HUAYLAS, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9743/descargar')"
209,"('Plan de prevención y reducción del riesgo de desastres del distrito Santa Rosa al 2022 (DISTRITO SANTA ROSA, LA MAR, AYACUCHO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9714/descargar')"
210,"('Plan de prevención y reducción de riesgos de desastres frente a Peligros de Sequias e inundaciones, del distrito de Vichayal, 2020-2022 (DISTRITO VICHAYAL, PAITA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9645/descargar')"
211,"('Plan de prevención y reducción de riesgos de desastres del distrito de Machupicchu al 2022 (DISTRITO MACHUPICCHU, URUBAMBA, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9660/descargar')"
212,"('Plan de prevención y reducción del riesgo de desastres por sismos 2019-2022. Municipalidad distrital de Santa Anita (DISTRITO SANTA ANITA, LIMA, LIMA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9643/descargar')"
213,"('Plan de prevención y reducción del riesgo de desastres - Cuenca del Chicama (Cuenca Chicama, DEPARTAMENTO LA LIBERTAD)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9590/descargar')"
214,"('Plan de prevención y reducción del riesgo de desastres 2020-2022. Municipalidad distrital de Castilla (DISTRITO CASTILLA, PIURA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9589/descargar')"
215,"('Plan de prevención y reducción del riesgo de desastres de la provincia de Carlos Fermín Fitzcarrald 2019 -2022 (PROVINCIA CARLOS FERMIN FITZCARRALD, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9550/descargar')"
216,"('Plan de Prevención y Reducción del Riesgo de Desastres del Distrito de Pampas Chico 2019-2021 (DISTRITO PAMPAS CHICO, RECUAY, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/9382/descargar')"
217,"('Plan de prevención y reducción del riesgo de desastres de la Provincia de Carhuaz 2018 - 2021 (PROVINCIA CARHUAZ, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/6195/descargar')"
218,"('Plan de prevención y reducción del riesgo de desastres por sismo del Callao, 2019 – 2022 (PROVINCIA CALLAO, CALLAO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/8163/descargar')"
219,"('Plan de prevención y reducción de riesgos de desastres de fuero militar policial, 2020 – 2022 ()', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/8164/descargar')"
220,"('Plan de prevención y reducción de riesgos de desastres distrital de Sachaca, 2019 – 2023 (DISTRITO SACHACA, AREQUIPA, AREQUIPA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/8162/descargar')"
221,"('Plan de prevención y reducción de riesgos de desastres distrital de Florida al 2022 (DISTRITO FLORIDA, BONGARA, AMAZONAS)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/8161/descargar')"
222,"('Plan de prevención y reducción de riesgos de desastres distrital de Villa El Salvador 2019-2022 (DISTRITO VILLA EL SALVADOR, LIMA, LIMA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/8033/descargar')"
223,"('Plan de prevención y reducción del riesgo de desastres de la municipalidad de Santiago de Surco 2020-2022 (DISTRITO SANTIAGO DE SURCO, LIMA, LIMA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/8032/descargar')"
224,"('Plan de prevención y reducción del riesgo de desastres del distrito de Pueblo Libre 2019-2022 (DISTRITO PUEBLO LIBRE, HUAYLAS, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/8031/descargar')"
225,"('Plan de prevención y reducción del riesgo de desastres para el distrito de Ollantaytambo (DISTRITO OLLANTAYTAMBO, URUBAMBA, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/8030/descargar')"
