,"('PLANES DE PREVENCIÓN Y REDUCCIÓN DEL RIESGO DE DESASTRES', None)","('DESCARGA', None)"
13,"('Plan de Prevención y Reducción del Riesgo de Desastres del Organismo Supervisor de las Contrataciones del Estado 2023 – 2025 (Local Central y Edificio El Regidor de la OSCE, DISTRITO JESUS MARIA, LIMA, LIMA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15534/descargar')"
14,"('Plan de prevención y reducción del riesgo de desastres del distrito de Lagunas 2022 – 2025 (DISTRITO LAGUNAS, CHICLAYO, LAMBAYEQUE)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15510/descargar')"
15,"('Plan de prevención y reducción del riesgo de desastres ante inundaciones y movimientos en masa en la provincia de Huánuco 2022-2026 (PROVINCIA HUANUCO, HUANUCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15511/descargar')"
16,"('Plan de prevención y reducción del riesgo de desastres de la provincia de Rioja ante inundaciones y movimientos en masa 2022-2026 (PROVINCIA RIOJA, SAN MARTIN)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15512/descargar')"
17,"('Plan de prevención y reducción del riesgo de desastres del distrito de Chala 2023-2025 (DISTRITO CHALA, CARAVELI, AREQUIPA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15509/descargar')"
18,"('Plan de prevención y reducción del riesgo de desastres región Callao, periodo 2022-2025 (DEPARTAMENTO CALLAO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15508/descargar')"
19,"('Plan de prevención y reducción del riesgo de desastres ante inundaciones y movimientos en masa en el distrito de Daniel Alomia Robles 2022 – 2026 (DISTRITO DANIEL ALOMIA ROBLES, LEONCIO PRADO, HUANUCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15420/descargar')"
20,"('Plan de plan de prevención y reducción del riesgo de desastres del distrito La Cruz, provincia y departamento Tumbes 2023-2025 (DISTRITO LA CRUZ, TUMBES, TUMBES)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15422/descargar')"
21,"('Plan de plan de prevención y reducción del riesgo de desastres ante inundaciones y movimientos en masa 2022-2026 del distrito de Pardo Miguel (DISTRITO PARDO MIGUEL, RIOJA, SAN MARTIN)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15425/descargar')"
22,"('Plan de plan de prevención y reducción del riesgo de desastres del distrito de Acoria, provincia y departamento de Huancavelica 202-2024 (DISTRITO ACORIA, HUANCAVELICA, HUANCAVELICA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15423/descargar')"
23,"('Plan de plan de prevención y reducción del riesgo de desastres ante peligros de origen natural del distrito de Bambamarca (DISTRITO BAMBAMARCA, BOLIVAR, LA LIBERTAD)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15421/descargar')"
24,"('Plan de prevención y reducción del riesgo de desastres en el área de influencia del distrito de San Pablo 2023-2025 (DISTRITO SAN PABLO, SAN PABLO, CAJAMARCA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15395/descargar')"
25,"('Plan de prevención y reducción del riesgo de desastres del distrito de Santillana, provincia de Huanta, departamento de Ayacucho, periodo 2023-2025 (DISTRITO SANTILLANA, HUANTA, AYACUCHO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15394/descargar')"
26,"('Plan de prevención y reducción del riesgo de desastres de la provincia de Pomabamba 2022-2024 (PROVINCIA POMABAMBA, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15386/descargar')"
27,"('Plan de prevención y reducción del riesgo de desastres del distrito de Jesús Nazareno, provincia de Huamanga, departamento de Ayacucho, periodo 2022-2025 (DISTRITO JESUS NAZARENO, HUAMANGA, AYACUCHO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15384/descargar')"
28,"('Plan de prevención y reducción del riesgo de incendios forestales periodo 2022-2025 de la región Ayacucho (DEPARTAMENTO AYACUCHO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15362/descargar')"
29,"('Plan de prevención y reducción del riesgo de desastres del distrito de Samugari 2022-2025 (DISTRITO SAMUGARI, LA MAR, AYACUCHO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15385/descargar')"
30,"('Plan de prevención y reducción del riesgo de desastres del distrito de Ataquero (DISTRITO ATAQUERO, CARHUAZ, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15268/descargar')"
31,"('Plan de prevención y reducción del riesgo de desastres ante sismos del distrito de Frías, provincia de Ayabaca, departamento de Piura 2022-2024 (DISTRITO FRIAS, AYABACA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15234/descargar')"
32,"('Plan de prevención y reducción del riesgo de desastres del distrito de Cotaruse 2023-2026 (DISTRITO COTARUSE, AYMARAES, APURIMAC)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15232/descargar')"
